	en	fr	es	el	it	ar	de
title	Advanced tools	Outils Avancés	Herramientas Avanzadas	Προηγμένα εργαλεία	Strumenti avanzati	ادوات متقدمة	Erweiterte Werkzeuge
text_general	Access to advanced tools is reserved for journalists, fact-checkers and researchers. You need to apply and register to use them.	L'accès aux outils avancés est réservé aux journalistes, fact-checkers et chercheurs. Vous devez postuler et vous inscrire pour les utiliser.	El acceso a herramientas avanzadas está reservado a periodistas, verificadores de datos e investigadores. Necesita solicitar y registrarse para usarlos.	Η πρόσβαση σε προηγμένα εργαλεία προορίζεται για δημοσιογράφους, ελεγκτές γεγονότων και ερευνητές. Πρέπει να κάνετε αίτηση και να εγγραφείτε για να τα χρησιμοποιήσετε.	L'accesso agli strumenti avanzati è riservato per giornalisti, factcheckers e ricercatori. È necessario applicare e registrarsi per utilizzarli.	الوصول إلى الأدوات المتقدمة محجوز للصحفيين ومدققي المعلومات والباحثين. يجب عليك التقديم والتسجيل لاستخدامها.	Diese Tools sind JournalistInnen, FaktencheckerInnen und ForschernInnen vorbehalten. Sie müssen sich bewerben und registrieren, um sie zu verwenden.
title_tools_unlocked	Tools unlocked	Outils déverrouillés	Herramientas desbloqueadas	Ξεκλειδωμένα εργαλεία	Strumenti sbloccati	أدوات مقفلة	Werkzeuge freigeschaltet
text_success	You have unlocked the advanced tools susccesfully, now you can close this window and start using them.	Vous avez déverrouillé les outils avancés avec succès, vous pouvez maintenant fermer cette fenêtre et commencer à les utiliser.	Has desbloqueado las herramientas avanzadas correctamente, ahora puedes cerrar esta ventana y empezar a usarlas.	Ξεκλειδώσατε με επιτυχία τα προηγμένα εργαλεία, τώρα μπορείτε να κλείσετε αυτό το παράθυρο και να αρχίσετε να τα χρησιμοποιείτε.	Hai sbloccato gli strumenti avanzati con successo, ora puoi chiudere questa finestra e iniziare a utilizzarli	لقد نجحت في إلغاء قفل الأدوات المتقدمة، والآن يمكنك إغلاق هذه النافذة والبدء في استخدامها.	Sie haben die erweiterten Werkzeuge freigeschaltet, Sie können dieses Fenster jetzt schließen und anfangen, sie zu verwenden.
text_unlocked	The advanced tools are unlocked	Les outils avancés sont déverrouillés	Las herramientas avanzadas están desbloqueadas	Τα προηγμένα εργαλεία είναι ξεκλείδωτα	Gli strumenti avanzati sono sbloccati	الأدوات المتقدمة غير مقفلة	Die erweiterten Werkzeuge werden freigeschaltet.
text_locked	The advanced tools are locked	Les outils avancés sont verrouillés	Las herramientas avanzadas están bloqueadas	Τα προηγμένα εργαλεία είναι κλειδωμένα	Gli strumenti avanzati sono bloccati	الأدوات المتقدمة مقفلة	Die erweiterten Werkzeuge sind gesperrt.
text_alreadycode	Do you already have a code	Vous avez déjà un code ?	¿Ya tienes un código?	Έχετε ήδη έναν κωδικό?	Hai già un codice ?	هل لديك بالفعل رمز	Haben Sie bereits einen Code
text_clickhere	Click here	Cliquez ici	Haz click aquí	Κάντε κλικ εδώ	Clicca qui	انقر هنا	klicken Sie hier
